CustID,Gender,Age,Income,Education,Profession,AccountBalance,NumTradesPerYr,AccountType,TradingStrategy,TradingStyle,Tech,Auto,Hotel,Airline,Energy,Biotech,Pharma,Utilities,Financials,Staples,Industrials
1000001,F,65+,61041,Masters,Architect,198459,25,Cash,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000002,M,35-44,259522,Doctorate,Doctor,388705,24,Cash,Growth,Trend,N,Y,N,N,N,Y,N,N,N,N,N
1000003,F,65+,178107,Doctorate,Performer,568507,37,Margin,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000004,M,35-44,134992,Masters,Performer,7617,9,Cash,Growth,Trend,Y,Y,Y,Y,N,N,N,N,N,N,N
1000005,M,45-54,287725,Doctorate,Performer,898860,3,Cash,Growth,Trend,Y,Y,Y,Y,N,N,N,N,N,N,N
1000006,M,25-34,91152,Bachelors,Programmer,109937,21,Cash,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000007,M,35-44,322609,Masters,Executive,745296,35,Margin,Growth,Trend,Y,Y,N,N,N,N,N,N,N,N,N
1000008,M,55-64,140695,Doctorate,Performer,41939,24,Cash,Growth,Trend,Y,Y,Y,Y,N,N,N,N,N,N,N
1000009,F,65+,120288,Masters,Performer,493844,47,Margin,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000010,M,55-64,312213,Masters,Executive,322358,60,Margin,Growth,Swing,Y,N,N,N,N,N,N,N,Y,N,N
1000011,F,65+,192663,Masters,Executive,16856,40,Cash,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000012,F,18-24,73017,Bachelors,Architect,225377,6,Cash,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000013,M,55-64,75077,Bachelors,Manager,20514,56,Cash,Growth,Swing,Y,N,N,N,N,N,N,N,N,N,N
1000014,M,35-44,202901,Masters,Entrepreneur,446490,27,Cash,Growth,Trend,Y,Y,N,N,N,N,N,N,N,N,N
1000015,M,25-34,106877,Masters,Executive,122471,31,Margin,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000016,M,45-54,392655,Masters,Executive,654758,6,Option,Growth,Swing,Y,Y,N,N,N,N,N,N,N,N,N
1000017,F,55-64,340808,Masters,Executive,327699,77,Margin,Value,Swing,N,N,N,N,Y,N,Y,N,Y,N,Y
1000018,M,35-44,334936,Masters,Entrepreneur,823825,13,Cash,Growth,Trend,Y,Y,N,N,N,N,N,N,N,N,N
1000019,M,35-44,327452,Masters,Doctor,252961,15,Cash,Growth,Trend,N,Y,N,N,N,Y,N,N,N,N,N
1000020,F,55-64,358057,Masters,Performer,1358550,31,Margin,Value,Trend,N,N,N,N,Y,N,Y,N,Y,N,Y
1000021,F,55-64,408547,Masters,Entrepreneur,454574,36,Margin,Value,Trend,N,N,N,N,Y,N,Y,N,Y,N,Y
1000022,M,35-44,111229,Masters,Executive,193191,38,Margin,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000023,M,25-34,143451,Masters,Performer,240584,26,Cash,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000024,M,35-44,198533,Masters,Lawyer,579596,46,Margin,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000025,M,45-54,282911,Doctorate,Entrepreneur,762671,3,Cash,Growth,Trend,Y,Y,N,N,N,N,N,N,N,N,N
1000026,M,65+,154088,Doctorate,Lawyer,108395,26,Cash,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000027,F,35-44,141546,Masters,Doctor,317448,26,Cash,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000028,F,45-54,96126,Associate,Programmer,106914,7,Cash,Growth,Trend,Y,N,N,N,N,N,N,N,N,N,N
1000029,F,35-44,191960,Doctorate,Entrepreneur,176582,51,Margin,Growth,Swing,Y,N,N,N,N,N,N,N,N,N,N
