TRADE_DATE,CURRENCY,VALUE
1971-01-04,DEXJPUS,357.73
1971-01-05,DEXJPUS,357.81
1971-01-06,DEXJPUS,357.86
1971-01-07,DEXJPUS,357.87
1971-01-08,DEXJPUS,357.82
1971-01-11,DEXJPUS,357.95
1971-01-12,DEXJPUS,358.06
1971-01-13,DEXJPUS,358.44
1971-01-14,DEXJPUS,358.4
1971-01-15,DEXJPUS,358.4
1971-01-18,DEXJPUS,358.29
1971-01-19,DEXJPUS,358.35
1971-01-20,DEXJPUS,358.4
1971-01-21,DEXJPUS,358.27
1971-01-22,DEXJPUS,357.9
1971-01-25,DEXJPUS,357.73
1971-01-26,DEXJPUS,357.78
1971-01-27,DEXJPUS,357.79
1971-01-28,DEXJPUS,357.83
1971-01-29,DEXJPUS,357.72
1971-02-01,DEXJPUS,357.67
1971-02-02,DEXJPUS,357.55
1971-02-03,DEXJPUS,357.54
1971-02-04,DEXJPUS,357.51
1971-02-05,DEXJPUS,357.53
1971-02-08,DEXJPUS,357.49
1971-02-09,DEXJPUS,357.5
1971-02-10,DEXJPUS,357.5
1971-02-11,DEXJPUS,357.5
1971-02-12,DEXJPUS,357.5
1971-02-15,DEXJPUS,357.5
1971-02-16,DEXJPUS,357.53
1971-02-17,DEXJPUS,357.53
1971-02-18,DEXJPUS,357.53
1971-02-19,DEXJPUS,357.56
1971-02-22,DEXJPUS,357.6
1971-02-23,DEXJPUS,357.55
1971-02-24,DEXJPUS,357.6
1971-02-25,DEXJPUS,357.56
1971-02-26,DEXJPUS,357.56
1971-03-01,DEXJPUS,357.63
1971-03-02,DEXJPUS,357.56
1971-03-03,DEXJPUS,357.49
1971-03-04,DEXJPUS,357.45
1971-03-05,DEXJPUS,357.59
1971-03-08,DEXJPUS,357.55
1971-03-09,DEXJPUS,357.46
1971-03-10,DEXJPUS,357.59
1971-03-11,DEXJPUS,357.56
1971-03-12,DEXJPUS,357.58
1971-03-15,DEXJPUS,357.54
1971-03-16,DEXJPUS,357.49
1971-03-17,DEXJPUS,357.53
1971-03-18,DEXJPUS,357.56
1971-03-19,DEXJPUS,357.56
1971-03-22,DEXJPUS,357.44
1971-03-23,DEXJPUS,357.53
1971-03-24,DEXJPUS,357.53
1971-03-25,DEXJPUS,357.47
1971-03-26,DEXJPUS,357.47
1971-03-29,DEXJPUS,357.44
1971-03-30,DEXJPUS,357.49
1971-03-31,DEXJPUS,357.42
1971-04-01,DEXJPUS,357.49
