SYMBOL,TRADE_DATE,CLOSE_PRICE,VOLUME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE
CARZ,2017-08-15,37.55,1144,37.59,37.59,37.515
CARZ,2017-08-14,37.7114,923,37.52,37.7114,37.52
CARZ,2017-08-11,37.22,115,37.22,37.22,37.22
CARZ,2017-08-10,37.34,292,37.34,37.34,37.34
CARZ,2017-08-09,37.6343,15316,37.49,37.6343,37.49
CARZ,2017-08-08,37.76,993,37.76,37.824,37.76
CARZ,2017-08-07,37.6275,577,37.6428,37.6428,37.6101
CARZ,2017-08-04,37.627,399,37.6072,37.627,37.6072
CARZ,2017-08-03,37.24,1471,37.25,37.25,37.22
CARZ,2017-08-02,37.29,3388,37.3,37.34,37.29
CARZ,2017-08-01,37.3,6037,37.35,37.36,37.29
CARZ,2017-07-31,37.29,928,37.29,37.29,37.26
CARZ,2017-07-28,37.29,2253,37.29,37.29,37.2
CARZ,2017-07-27,37.4764,1899,37.45,37.6,37.3801
CARZ,2017-07-26,37.5053,1965,37.38,37.5053,37.374
CARZ,2017-07-25,37.426,454,37.426,37.426,37.426
CARZ,2017-07-24,37.34,3136,37.36,37.36,37.33
CARZ,2017-07-21,37.5324,8895,37.67,37.67,37.4
CARZ,2017-07-20,38.1,526,37.97,38.1,37.97
CARZ,2017-07-19,37.9675,481,37.76,37.9675,37.75
CARZ,2017-07-18,37.7935,2954,37.72,37.82,37.7001
CARZ,2017-07-17,38.02,337,38.05,38.05,38.02
CARZ,2017-07-14,38.0,407,37.8,38.0,37.8
CARZ,2017-07-13,37.71,3949,37.62,37.76,37.62
CARZ,2017-07-12,37.72,460,37.49,37.82,37.49
CARZ,2017-07-11,37.31,3571,37.19,37.33,37.19
CARZ,2017-07-10,36.96,13175,37.05,37.05,36.875
CARZ,2017-07-07,37.13,25415,36.979,37.13,36.9
CARZ,2017-07-06,36.86,6826,36.96,36.96,36.86
CARZ,2017-07-05,37.0,5911,37.12,37.12,37.0
CARZ,2017-07-03,37.2,867,37.09,37.2,37.06
CARZ,2017-06-30,36.76,458,36.73,36.76,36.73
CARZ,2017-06-29,36.64,1122,36.85,36.85,36.64
CARZ,2017-06-28,36.9483,1084,36.83,36.9483,36.83
CARZ,2017-06-27,36.7,993,36.57,36.73,36.57
CARZ,2017-06-26,36.7528,651,36.73,36.7815,36.73
CARZ,2017-06-23,36.48,231,36.5348,36.5348,36.48
CARZ,2017-06-22,36.6612,2033,36.585,36.6675,36.5401
CARZ,2017-06-21,36.93,854,37.012,37.012,36.93
CARZ,2017-06-20,36.865,286,36.865,36.865,36.865
CARZ,2017-06-19,37.125,975,37.1669,37.1669,37.08
CARZ,2017-06-16,36.97,428,36.935,36.97,36.935
CARZ,2017-06-15,37.015,3116,37.0,37.03,36.91
CARZ,2017-06-14,37.5,350,37.57,37.57,37.5
CARZ,2017-06-13,37.5,1932,37.41,37.5,37.41
CARZ,2017-06-12,37.05,0,37.05,37.05,37.05
CARZ,2017-06-09,37.05,1602,37.3,37.3,37.04
CARZ,2017-06-08,37.18,1897,37.01,37.18,37.01
CARZ,2017-06-07,37.16,721,37.16,37.16,37.15
CARZ,2017-06-06,37.1301,427,37.19,37.19,37.1301
CARZ,2017-06-05,37.24,6414,37.23,37.36,37.175
CARZ,2017-06-02,37.5658,1472,37.35,37.5658,37.34
CARZ,2017-06-01,37.0,4101,36.71,37.07,36.53
CARZ,2017-05-31,36.49,4298,36.53,36.75,36.47
CARZ,2017-05-30,36.42,840,36.36,36.42,36.36
CARZ,2017-05-26,36.22,2022,36.11,36.2264,36.07
CARZ,2017-05-25,36.305,2569,36.2,36.377,36.2
CARZ,2017-05-24,36.31,2757,36.35,36.35,36.274
CARZ,2017-05-23,36.49,537,36.49,36.5125,36.49
CARZ,2017-05-22,36.686,2687,36.644,36.686,36.61
CARZ,2017-05-19,36.535,500,36.46,36.535,36.46
CARZ,2017-05-18,36.1258,100,36.1258,36.1258,36.1258
CARZ,2017-05-17,36.07,697,36.3339,36.3339,36.07
CARZ,2017-05-16,36.46,681,36.6,36.6,36.46
CARZ,2017-05-15,36.4267,530,36.4,36.4267,36.4
CARZ,2017-05-12,36.251,871,36.181,36.251,36.181
CARZ,2017-05-11,36.26,1049,36.36,36.36,36.22
CARZ,2017-05-10,36.2249,398,36.33,36.33,36.2249
CARZ,2017-05-09,36.3,1243,36.24,36.3294,36.1601
CARZ,2017-05-08,36.47,248,36.47,36.47,36.47
CARZ,2017-05-05,36.425,846,36.01,36.425,36.01
CARZ,2017-05-04,35.965,2069,36.02,36.02,35.9111
CARZ,2017-05-03,36.0235,2481,35.88,36.0235,35.88
CARZ,2017-05-02,36.1295,3837,36.25,36.25,36.065
CARZ,2017-05-01,36.32,961,36.3499,36.475,36.32
CARZ,2017-04-28,36.2132,2860,36.24,36.3,36.1808
CARZ,2017-04-27,36.22,4645,36.35,36.35,36.15
CARZ,2017-04-26,36.46,1680,36.3427,36.47,36.3427
CARZ,2017-04-25,36.2958,6976,36.02,36.3,36.02
CARZ,2017-04-24,35.86,4249,35.94,36.01,35.8259
CARZ,2017-04-21,35.5,242,35.5,35.5,35.5
CARZ,2017-04-20,35.4,9679,35.19,35.49,35.19
CARZ,2017-04-19,34.79,1671,34.911,34.9269,34.79
CARZ,2017-04-18,34.72,4656,34.43,34.73,34.43
CARZ,2017-04-17,34.95,3056,34.58,34.95,34.58
CARZ,2017-04-13,34.6,3929,34.73,34.73,34.58
CARZ,2017-04-12,34.84,454,34.9,34.9,34.84
CARZ,2017-04-11,35.0592,2655,35.02,35.06,34.98
CARZ,2017-04-10,34.99,17969,34.86,35.067,34.86
CARZ,2017-04-07,35.03,668,35.1,35.1,35.03
CARZ,2017-04-06,35.1775,68925,35.1,35.2,35.06
CARZ,2017-04-05,35.3,16098,35.576,35.576,35.285
CARZ,2017-04-04,35.861,17007,35.92,35.92,35.664
CARZ,2017-04-03,36.1211,23731,36.09,36.1291,35.9983
CARZ,2017-03-31,36.304,1249,36.22,36.304,36.22
CARZ,2017-03-30,36.41,1253,36.44,36.4856,36.41
CARZ,2017-03-29,36.63,4637,36.46,36.63,36.46
CARZ,2017-03-28,36.829,544,36.825,36.83,36.825
CARZ,2017-03-27,36.2679,2635,36.2,36.335,36.1587
CARZ,2017-03-24,36.4095,1545,36.29,36.425,36.25
CARZ,2017-03-23,36.27,311,36.085,36.27,36.085
CARZ,2017-03-22,36.18,1972,36.03,36.25,36.0184
CARZ,2017-03-21,36.02,5743,36.84,36.84,36.02
CARZ,2017-03-20,36.49,1091,36.6022,36.6786,36.47
CARZ,2017-03-17,36.53,14845,36.81,36.81,36.53
CARZ,2017-03-16,37.1,20088,37.08,37.13,37.02
CARZ,2017-03-15,37.12,12235,36.635,37.12,36.635
CARZ,2017-03-14,36.725,11706,36.52,36.725,36.52
CARZ,2017-03-13,36.7515,1768,36.57,36.7585,36.57
CARZ,2017-03-10,36.48,5574,36.474,36.51,36.43
CARZ,2017-03-09,36.26,5483,36.43,36.43,36.115
CARZ,2017-03-08,36.37,42777,36.54,36.54,36.36
CARZ,2017-03-07,36.33,2111,36.43,36.43,36.33
CARZ,2017-03-06,36.29,12298,36.55,36.55,36.28
CARZ,2017-03-03,36.36,3381,36.3,36.46,36.2777
CARZ,2017-03-02,36.3124,5707,36.7,36.7,36.3124
CARZ,2017-03-01,36.61,49958,36.56,36.72,36.48
CARZ,2017-02-28,35.97,2299,36.16,36.16,35.91
CARZ,2017-02-27,36.05,38335,36.07,36.15,36.0101
CARZ,2017-02-24,36.106,920,35.97,36.106,35.96
CARZ,2017-02-23,36.36,861,36.59,36.59,36.36
CARZ,2017-02-22,36.67,545,36.59,36.67,36.59
CARZ,2017-02-21,36.69,4539,36.39,36.7057,36.39
CARZ,2017-02-17,36.21,3261,36.01,36.21,35.93
CARZ,2017-02-16,36.29,3032,36.25,36.31,36.25
CARZ,2017-02-15,36.495,36897,36.36,36.495,36.36
CARZ,2017-02-14,36.49,2544,36.32,36.6076,36.32
CARZ,2017-02-13,36.28,296524,36.44,36.44,36.14
CARZ,2017-02-10,35.75,1939,35.62,35.8312,35.62
CARZ,2017-02-09,35.48,11736,35.44,35.69,35.3201
CARZ,2017-02-08,35.61,1088,35.59,35.61,35.59
CARZ,2017-02-07,35.36,6335,35.49,35.49,35.309
CARZ,2017-02-06,35.56,2800,35.55,35.6068,35.4618
CARZ,2017-02-03,35.6927,891,35.6256,35.779,35.6256
CARZ,2017-02-02,35.4704,1334,35.48,35.48,35.3647
CARZ,2017-02-01,35.6,1425,35.73,35.73,35.5939
CARZ,2017-01-31,35.6975,2955,35.53,35.6975,35.4237
CARZ,2017-01-30,35.59,4304,35.86,35.86,35.53
CARZ,2017-01-27,35.99,293,35.99,35.99,35.99
CARZ,2017-01-26,36.275,8928,36.5,36.5,36.25
CARZ,2017-01-25,36.58,3092,36.64,36.68,36.5508
CARZ,2017-01-24,36.3282,3139,36.05,36.4378,36.05
CARZ,2017-01-23,36.15,1017,36.19,36.19,36.15
CARZ,2017-01-20,36.1108,2102,36.3,36.3,36.1108
CARZ,2017-01-19,36.03,5246,36.1658,36.1886,36.01
CARZ,2017-01-18,35.99,1709,36.11,36.1191,35.99
CARZ,2017-01-17,35.87,2688,36.01,36.0482,35.86
CARZ,2017-01-13,36.035,2547,35.7,36.035,35.7
CARZ,2017-01-12,35.9275,16728,35.99,35.99,35.51
